name,country,average,strike_rate,economy,balls_bolwed_per_innings,wicket_index,big_impact_index,short_impact_index,runs_index,prelim_metric,pre-rank,kmeans_role,rbml_score,pca_score
Shuvagata Hom,BAN,35.5,33.0,6.45,16.5,0.5,0.0,0.5,17.75,38.162,Poor,SPB,0.575,0.819
TJ Stephenson,Blz,25.5,21.0,7.28,10.5,0.5,0.0,0.5,12.75,30.94,Poor,LCB,0.4,0.62
Sufyan Mehmood,OMA,29.5,25.5,6.94,12.45,0.5,0.0,0.5,14.75,34.122,Poor,LCB,0.433,0.688
N Thushara,SL,44.5,27.5,9.7,13.65,0.5,0.0,0.5,22.25,71.942,Poor,LCB,0.417,0.711
VL Mukesh,SEY,54.0,36.0,9.0,14.4,0.4,0.0,0.4,21.6,81.0,Poor,LCB,0.418,0.671
CV Varun,INDIA,66.0,67.5,5.86,22.3,0.333,0.0,0.333,22.0,64.46,Poor,IB,0.573,0.871
M Whelan,GIBR,38.5,27.0,8.55,13.5,0.5,0.0,0.5,19.25,54.863,Poor,LCB,0.43,0.711
Yusuf Ebrahim,PNM,65.0,48.0,8.12,12.0,0.25,0.0,0.25,16.25,87.967,Poor,LCB,0.356,0.477
JB Abega,CAM,141.0,83.0,10.19,20.25,0.25,0.0,0.25,35.25,239.465,Poor,IB,0.308,0.679
N Ahir,PNM,123.0,78.0,9.46,15.6,0.2,0.0,0.2,24.6,193.93,Poor,LCB,0.361,0.484
Amir Ali,OMA,67.0,54.0,7.44,10.8,0.2,0.0,0.2,13.4,83.08,Poor,LCB,0.334,0.4
Amir Mangal,GER,57.0,40.0,8.55,7.68,0.2,0.0,0.2,11.4,81.225,Poor,LCB,0.274,0.306
Ayaan Khan,OMA,63.0,60.0,6.3,15.0,0.25,0.0,0.25,15.75,66.15,Poor,LCB,0.43,0.579
CD Barnwell,WI,51.0,36.0,8.5,9.0,0.25,0.0,0.25,12.75,72.25,Poor,LCB,0.312,0.392
Basil George,MLT,145.0,87.0,10.0,12.257,0.143,0.0,0.143,20.714,241.667,Poor,LCB,0.276,0.281
SR Bhudia,KENYA,63.0,54.0,7.0,13.5,0.25,0.0,0.25,15.75,73.5,Poor,LCB,0.395,0.532
DL Brangman,BMUDA,84.0,42.0,12.0,8.4,0.2,0.0,0.2,16.8,168.0,Poor,LCB,0.245,0.276
