name,country,average,strike_rate,boundary_per_ball,boundary_index,finishing_index,runs_without_boundary_index,big_match_index,prelim_metric,pre-rank,kmeans_role,rbml_score,pca_score
Aminul Islam,BAN,11.66,85.36,0.098,0.571,0.571,2.714,0.0,9.953,Poor,LCB,-0.701,-2.128
L Hermida,MEX,11.66,70.0,0.02,0.2,0.4,6.2,0.0,8.162,Poor,LCB,-1.199,-2.544
VV Morea,PNG,7.0,79.54,0.091,0.8,0.0,3.8,0.0,5.568,Poor,LCB,-0.909,-1.9
CB Mpofu,ZIM,8.75,81.39,0.093,0.364,0.636,1.545,0.0,7.122,Poor,LCB,-0.854,-2.574
D Murphy,SCOT,35.0,100.0,0.029,0.25,0.75,7.75,0.0,35.0,Poor,LCB,-0.335,-1.15
Nasum Ahmed,BAN,11.66,89.74,0.077,0.333,0.667,2.111,0.0,10.464,Poor,LCB,-0.743,-2.419
N Pokana,PNG,7.0,76.08,0.022,0.091,0.545,2.636,0.0,5.326,Poor,LCB,-1.229,-3.13
Robert Raina,THAI,8.75,51.47,0.059,1.0,0.0,4.25,0.0,4.504,Poor,LCB,-1.341,-2.295
Shuvagata Hom,BAN,17.5,100.0,0.114,1.0,0.5,4.25,0.0,17.5,Poor,F,-0.123,-1.219
Arafat Sunny,BAN,11.33,113.33,0.133,0.667,0.5,2.667,0.0,12.84,Poor,F,-0.139,-1.459
Hammad Azam,PAK,11.33,100.0,0.118,1.0,0.25,4.0,0.0,11.33,Poor,LCB,-0.408,-1.321
J Hill,PHI,4.85,53.12,0.047,0.429,0.0,3.143,0.0,2.576,Poor,LCB,-1.511,-2.848
Ibrahim Nashath,MALD,8.5,41.46,0.012,0.167,0.333,5.0,0.0,3.524,Poor,LCB,-1.694,-3.206
FJ Klaassen,NED,5.66,85.0,0.05,0.222,0.333,2.889,0.0,4.811,Poor,LCB,-1.039,-2.674
M Kpaka,SLE,6.8,75.55,0.022,0.167,0.167,4.667,0.0,5.137,Poor,LCB,-1.251,-2.682
W McClintock,IRE,11.33,89.47,0.105,1.0,0.25,4.5,0.0,10.137,Poor,LCB,-0.589,-1.5
Nadeem Ahmed,HKG,6.8,61.81,0.036,0.222,0.444,2.889,0.0,4.203,Poor,LCB,-1.369,-3.1
JD Nel,SCOT,11.33,136.0,0.16,0.8,0.4,3.2,0.0,15.409,Poor,F,0.068,-0.808
Saqib Zulfiqar,NED,8.5,79.06,0.023,0.25,0.0,7.5,0.0,6.72,Poor,LCB,-1.145,-2.143
A Sharafu,UAE,11.33,103.03,0.091,0.75,0.25,4.0,0.0,11.673,Poor,LCB,-0.493,-1.556
W Viraliliu,VAN,8.5,130.76,0.192,0.714,0.429,1.429,0.0,11.115,Poor,F,0.022,-1.012
RA Abolarin,NGA,16.5,110.0,0.1,0.6,0.6,3.8,0.0,18.15,Poor,F,-0.083,-1.48
MF Maharoof,SL,8.25,76.74,0.023,0.2,0.2,5.4,0.0,6.331,Poor,LCB,-1.19,-2.535
AF Milne,NZ,33.0,100.0,0.061,0.2,0.9,2.3,0.0,33.0,Poor,F,-0.007,-1.673
Mustapha Yusuf,NGA,16.5,97.05,0.088,0.75,0.5,5.25,0.0,16.013,Poor,LCB,-0.455,-1.471
I Pandey,NEPAL,8.25,66.0,0.1,1.25,0.0,3.25,0.0,5.445,Poor,LCB,-0.992,-1.851
Simandeep Singh,HKG,6.6,103.12,0.062,0.286,0.286,3.571,0.0,6.806,Poor,LCB,-0.726,-2.189
D Wheatley,BHM,8.25,113.79,0.172,1.0,0.2,2.2,0.0,9.388,Poor,F,-0.284,-1.055
AA Westphal,MEX,6.6,82.5,0.075,0.6,0.0,4.2,0.0,5.445,Poor,LCB,-0.951,-2.022
S Williams,SLE,16.5,82.5,0.075,0.5,0.667,3.5,0.0,13.612,Poor,LCB,-0.733,-2.126
Zahid Khan,SLE,8.25,103.12,0.125,1.0,0.0,3.75,0.0,8.507,Poor,LCB,-0.428,-1.233
Aqib Iqbal,AUT,16.0,82.05,0.051,0.5,0.5,5.5,0.0,13.128,Poor,LCB,-0.822,-2.011
J Jemison,BHM,10.66,69.56,0.0,0.0,0.25,8.0,0.0,7.415,Poor,LCB,-1.309,-2.532
GA Lamb,ZIM,16.0,59.25,0.019,0.25,0.5,7.0,0.0,9.48,Poor,LCB,-1.252,-2.478
CE McConchie,NZ,16.0,114.28,0.107,0.75,0.5,5.0,0.0,18.285,Poor,F,-0.041,-1.157
GH O'Brien,BMUDA,8.0,84.21,0.079,0.5,0.333,2.667,0.0,6.737,Poor,LCB,-0.881,-2.309
SNJ O'Keefe,AUS,6.4,123.07,0.192,1.0,0.0,2.0,0.0,7.876,Poor,F,-0.349,-0.772
OR Willis,CAYM,6.4,45.71,0.014,0.2,0.0,5.2,0.0,2.925,Poor,LCB,-1.7,-2.986
HN Ya France,NAM,4.57,86.48,0.081,0.3,0.3,1.8,0.0,3.952,Poor,LCB,-0.94,-2.552
R Abdulkareem,NGA,15.5,96.87,0.125,1.0,0.5,3.75,0.0,15.015,Poor,F,-0.156,-1.321
A Ahmadhel,BUL,5.16,70.45,0.068,0.429,0.143,2.714,0.0,3.635,Poor,LCB,-1.185,-2.593
Ibrahim Rizan,MALD,4.42,58.49,0.057,0.3,0.3,1.9,0.0,2.585,Poor,LCB,-1.402,-3.085
